ID	Target	Tweet	Stance
20034	Donald Trump	@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST	AGAINST
20035	Donald Trump	Beheading attack at company in France is terrorism,but beheading and attack at company in OK is work place violence. #tcot #SemST	AGAINST
20036	Donald Trump	Hosea 4:8  They eat up the sin of my people, and they set their heart on their iniquity.  #pastors #Christians  #repent #SemST	AGAINST
20037	Donald Trump	Isis celebrates Islam with 3 terror attacks overseas. BO wants 2 disarm Americans so Isis can mow us down at will. #tcot #SemST	AGAINST
20038	Donald Trump	@kilmeade @briankilmeade Obviously military industrial complex has an interest in sustained conflict War=sales #Libertarian #SemST	NONE
20039	Donald Trump	@Scotus creates another right in the Constitution. WE ARE LIVING UNDER TYRANNY. THE WILL OF THE PEOPLE IS NO LONGER! #SemST	AGAINST
20040	Donald Trump	#SCOTUS rules they can rule anything they damn well please, regardless of We The People. Welcome to #tyranny.   #USA #SemST	AGAINST
20041	Donald Trump	I don't even recognize America anymore. #scary #SemST	AGAINST
20042	Donald Trump	Sad day America...what is going on? #LNYHBT #SemST	AGAINST
20043	Donald Trump	The country's fucked but we can marry!! Woo hoo! #SemST	AGAINST
20044	Donald Trump	This Fight Isn't OVER! #Obamacare Is Obviously Broken & It Increases Health Care Costs For Millions Of Americans. #SCOTUScare #SemST	AGAINST
20045	Donald Trump	There is a fine line between right and damnation  and in my opinion the US is going down the wrong damn road #votethemallout #SemST	AGAINST
20046	Donald Trump	@AC360 @barbarastarrcnn Erasing history will not cure the hatred heart, it only takes one person to stir the fires #CCOT #SemST	AGAINST
20047	Donald Trump	It's #FF and I need more videogame & political followers -- please no eggs or communists :-). Everyone else I'll followback!  #SemST	AGAINST
20048	Donald Trump	@BlissTabitha What to hell is going on! Really scary.. Nothing sacred anymore! #SemST	AGAINST
20049	Donald Trump	obviously, the decision was made on june 26th because it's the closest they could get to 6/66 within the month of june, #tcot #SemST	AGAINST
20050	Donald Trump	I know this is super dorky, but I REALLY hope I get my acct back in time for #CashinIn tom.   @ProfessorF @JonathanHoenig   #SemST	AGAINST
20051	Donald Trump	I'm offended @HillaryClinton is Not in Prison & I'm offended  hasn't started 2 #ImpeachObama Now @BarackObama  #SemST	AGAINST
20052	Donald Trump	Trump for prez he couldn't do any worse so give him a shot #SemST	AGAINST
20053	Donald Trump	@toddstarnes Marriage is designed and defined by God. No mortal man can change it. Praying for our country  #ccot #PJNET #SemST	AGAINST
20054	Donald Trump	You can change the laws of America, but you can never change the Law of God. Marriage is between a man and a woman. #SemST	AGAINST
20055	Donald Trump	@AppSame  obama and hillary and ordoughan and the Khomeinians and MB And ISIS are all serving the Freemasonry  #SemST	AGAINST
20056	Donald Trump	@realDonaldTrump No more Bush or Hillary Clinton #SemST	AGAINST
20057	Donald Trump	Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident #SemST	AGAINST
20058	Donald Trump	Healthcare in America must be fixed. Women are everything.  #TeamJason  #SemST	AGAINST
20059	Donald Trump	American's, do you think we are headed in a positive direction? #USAGuard #OPACT #SemST	AGAINST
20060	Donald Trump	The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump #SemST	AGAINST
20061	Donald Trump	And how many  #latinos enemies you gained in 1 week? 50 million!! @realDonaldTrump #SemST	AGAINST
20062	Donald Trump	They only did they gay marriage thing to get our attention off of all the shootings lately...  #SemST	NONE
20063	Donald Trump	@tommyhubb @mikemckenna19 @Scully64 @jhodnot @SandraHartle carrying  guns #SemST	AGAINST
20064	Donald Trump	@mtngma @Crossbearer1956 @CarmineZozzora aren't they, though #SemST	AGAINST
20065	Donald Trump	I almost got myself grounded for not agreeing with my parents on marriage equality. #USisnotatheocracy #SemST	AGAINST
20066	Donald Trump	If my only impression of the US was Donald Trump, I think I would hate it. #SemST	NONE
20067	Donald Trump	they legalized gay marriage???!!!  what's next?!?!? CRACK?!!!?  #SemST	AGAINST
20068	Donald Trump	States Have Already Decided How They Felt About This Based Off The Wills Of Their People! Give Them Their Rights Back! #SemST	AGAINST
20069	Donald Trump	The whitehouse displaying rainbow colors...are you shitting me? #SemST	AGAINST
20070	Donald Trump	You're combover looks like the cupacabra  Guillermo @jimmykimmel so funny #SemST	AGAINST
20071	Donald Trump	Supreme Court on the Constitution's WE THE PEOPLE..."It depends on what you mean by 'WE'. #SCOTUS #SCOTUScare #SemST	AGAINST
20072	Donald Trump	Tyranny in full bloom with legislative editor and @ChiefJusticeJR court freedom hanging by thread @RedNationRising #Liberty #SemST	AGAINST
20073	Donald Trump	@xmoraldk Glad we have each other on Twitter along with our home/community lives. You guys ROCK! #BeBlessed #SemST	AGAINST
20074	Donald Trump	So gays can get married, but I still can't legally own a pet monkey in the USA -.- #thisiswhatswrongwiththeworld #SemST	AGAINST
20075	Donald Trump	Thinking about deactivating my personal facebook account 'cause it's too liberal for me. Liberalism is a mental disorder. #SemST	AGAINST
20076	Donald Trump	It disgusts me how the White House can easily pass same sex marriage, but not marijuana at the same time. #WakeAndBake  #SemST	AGAINST
20077	Donald Trump	@JonathanHoenig Why arent Americans allowed WEEKLY to vote on Bills that are passed by the elite on behalf of the masses? #SemST	AGAINST
20078	Donald Trump	Maybe I was wrong. The government will probably ban football because someone is offended by the violent nature of the game #SemST	AGAINST
20079	Donald Trump	@GalaxySojourn until their welfare is cut, their freebies taken away the #plantationparty will always vote dem #SemST	AGAINST
20080	Donald Trump	We the people has become "We the sheeple"  #SemST	NONE
20081	Donald Trump	White terrorism is alive and well #SemST	AGAINST
20082	Donald Trump	Is one cup of coffee ever enough?! #COFFEE #SemST	AGAINST
20083	Donald Trump	Of course @TheJuanWilliams is completely wrong on the @SCOTUS ruling on #obamacare . @MichelleFields is right! #SemST	AGAINST
20084	Donald Trump	@MichelleFields "It's not SCOTUS' job to fix up Congress's mess!" #Cashinin #SemST	AGAINST
20085	Donald Trump	@ericbolling let @MichelleFields loose on @TheJuanWilliams when he makes idiotic unsubstantiated statements. #CashinIn #SemST	AGAINST
20086	Donald Trump	@docweiser01 @ericbolling @JonathanHoenig @MichelleFields Morning Doc! (hugs) #SemST	AGAINST
20087	Donald Trump	@1962Kiser @FanOfGreenMMs @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats #SemST	AGAINST
20088	Donald Trump	@SCOTUScare penned by @ChiefJusticeJR  ends rule of law and freedom. What law will SCOTUS  edit next? @RedNationRising #SemST	AGAINST
20089	Donald Trump	Whenever Iran stalls  O's response is to make up new talking points! #SemST	NONE
20090	Donald Trump	@ericbolling Juan says status quo is not working. Remember "Detente or MAD? They worked! #SemST	AGAINST
20091	Donald Trump	Under O & Kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD! #SemST	AGAINST
20092	Donald Trump	I really hate these stunts.  We already know how ignorant the post-Reagan generations are.   #SemST	AGAINST
20093	Donald Trump	And ask for handouts @jjauthor: When your family is short of money, do you take Lib option to increase spending? #racism #SemST	AGAINST
20094	Donald Trump	Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?" #tcot #SemST	AGAINST
20095	Donald Trump	Right on @ericbolling Racial fatigue and real depression is running rampant in our country these days.  #SemST	AGAINST
20096	Donald Trump	@ericbolling "I'm suffering from a severe case of racial fatigue. #SemST	AGAINST
20097	Donald Trump	@ericbolling Sorry you got shut down during the Factor last night by a useless news break. The portion you aired was potent. #SemST	AGAINST
20098	Donald Trump	Matters more today, then last week or yesterday.  IF YOU SEE SOMETHING SAY SOMETHING.  Bad is not even a word yet. #SemST	AGAINST
20099	Donald Trump	@inmatemd @ChuckNellis @Oh_MarieLoDuca We can only hope #SemST	AGAINST
20100	Donald Trump	Can we ask for equality in the USA and get rid of a Confederate flag that has a ton of history ? meanwhile we have clowns like #SemST	AGAINST
20101	Donald Trump	The whole Latino community will not be voting for #SemST	AGAINST
20102	Donald Trump	IRS + Hillary Both "Lost" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence! #SemST	AGAINST
20103	Donald Trump	@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test. #SemST	AGAINST
20104	Donald Trump	@WayneDupreeShow  I'm just jealous that us NORMAL hetero people don't have a flag or pride week or a parade #SemST	AGAINST
20105	Donald Trump	@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident #SemST	FAVOR
20106	Donald Trump	Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules #SemST	NONE
20107	Donald Trump	RT @_CFJ_: RT @bcwilliams92 Let's get this CLEAR! I DID NOT I REPEAT DID NOT vote on TPP  ~ Ted Cruz #CruzCrew... #SemST	NONE
20108	Donald Trump	Imagine looking out at the world and the America Obama has created while thinking things are better?  My god...  #tcot #PJNET #SemST	AGAINST
20109	Donald Trump	Unfounded data/support for such drastic claims to be made against Mexico & all its ppl sorry guys I guess I rape & sell drugs #SemST	AGAINST
20110	Donald Trump	I love it when #conservatives say #government is #tyranny and out to get us, then in D next sentence say #SupportOurTroops : #SemST	AGAINST
20111	Donald Trump	I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full. #SemST	AGAINST
20112	Donald Trump	@Jewtantandproud @TookyMonster the new and cool meme is to post a video of you eating a banana. I will if you will! #bananavideo #SemST	AGAINST
20113	Donald Trump	RT @MissSweets2: MSM is defending a wht woman posing as blk & forgets about AMERICANS held in Iran! Time to #RedNationRising... #SemST	AGAINST
20114	Donald Trump	@realDonaldTrump Go get 'em Mr. Trump!!! #SemST	AGAINST
20115	Donald Trump	A vote against Trump is a vote against America #SemST	AGAINST
20116	Donald Trump	RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST	AGAINST
20117	Donald Trump	My Message To LGBT Rights Supporters: If You Hate America, Please Leave. #SemST	AGAINST
20118	Donald Trump	@2AFight All these shootings in America are planned. Stay safe stay second amendment. Illegal guns kill people way more wtf?!!! #SemST	AGAINST
20119	Donald Trump	I really hope @realDonaldTrump doesn't combover and shoot me with the pistol he's constantly packing.. #SemST	AGAINST
20120	Donald Trump	For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST	AGAINST
20121	Donald Trump	@MoneyForLies #LOLZ Apparently you're unaware of history. What are you? Six? Or merely ignorant?  @TheDemocrats  @mmfa  #SemST	AGAINST
20122	Donald Trump	@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST	AGAINST
20123	Donald Trump	Obama is Liberalism's false idol. Reject that P.O.S. #VoteOutRino's #BoycottMSNBC #VoteCruz #MichelleObamaIsAMan #SemST	AGAINST
20124	Donald Trump	all #war is on YOU! The evil machine WANTS to control U. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #Love #art #SemST	AGAINST
20125	Donald Trump	@marypatriott @steph93065 @RealJamesWoods why not feed these disgusting s.o.b to the Muslims they would love em. #SemST	AGAINST
20126	Donald Trump	@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime #SemST	AGAINST
20127	Donald Trump	@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING #SemST	AGAINST
20128	Donald Trump	#LoveWins ---> I'm hating the rainbow because of this!!#NoToGayMarriage #Wakeuplebanon  #SemST	AGAINST
20129	Donald Trump	@chriswallace There may be 2000 nutjobs of that number and all they need to do is find eachother. The net has given that #FNS #SemST	AGAINST
20130	Donald Trump	I Can't Believe How Many Followers I Gained Today  #SemST	AGAINST
20131	Donald Trump	@wpaulsen31 If a candidate seems to dumb to debate my paper boy hes not getting my vote #SemST	AGAINST
20132	Donald Trump	@haleyelenaa and his favourite beaches are probably in Acapulco and Cabo  #SemST	AGAINST
20133	Donald Trump	@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST	AGAINST
20134	Donald Trump	Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump  #SemST	AGAINST
20135	Donald Trump	Time for Texas & Oklahoma to think about a no fault divorce from the Divided States of America.   #TCOT #CCOT #tippingpoint #SemST	AGAINST
20136	Donald Trump	@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that. #SemST	AGAINST
20137	Donald Trump	...And of course, God bless America!! #tcot  #teaparty  #SemST	AGAINST
20138	Donald Trump	hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #SemST	AGAINST
20139	Donald Trump	In todays America, does Honesty mean you are a Bigot?  I Hope not! @JonathanHoenig @JudgeJeanine #TheFive #Hannity #SemST	AGAINST
20140	Donald Trump	Black lives only matter to politicians around election time. #SemST	AGAINST
20141	Donald Trump	571 Days Left Until Obama Leaves The White House. #SemST	AGAINST
20142	Donald Trump	Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something. #SemST	AGAINST
20143	Donald Trump	@realDonaldTrump we need a president who cannot be bought. #SemST	AGAINST
20144	Donald Trump	@KidDynamiteBlog Between #Hillary2016 "a sadistic psychiatric nurse let loose in a lunatic asylum" & #bush16 ppl may vote #Shit! #SemST	AGAINST
20145	Donald Trump	We have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot #SemST	NONE
20146	Donald Trump	I admire how real and unapologetic Donald Trump is on his Political standpoints #SemST	AGAINST
20147	Donald Trump	@thereaIbanksy stop making racist peopld rich! #SemST	AGAINST
20148	Donald Trump	Be prepared - if we continue the policies of the liberal left, we will be #Greece - #SemST	AGAINST
20149	Donald Trump	@realDonaldTrump Probably because @jorgeramosnews had to change it after you published his old one on Instagram #TrumptheChump #SemST	AGAINST
20150	Donald Trump	RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote. #SemST	AGAINST
20151	Donald Trump	Reminder: DemocRATs STOLE  $716 Billion from Medicare f/ the elderly & gave it to Medicaid to help pay for #Obamacare. #SemST	AGAINST
20152	Donald Trump	@thehill you continue to shoot yourself in the foot. I guess this is for entertainment purposes only! #SemST	AGAINST
20153	Donald Trump	@realDonaldTrump I feel the train is gaining steam.  #SemST	AGAINST
20154	Donald Trump	@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader #SemST	AGAINST
20155	Donald Trump	I'm confused?? An unarmed fugitive was shot this weekend while running from an officer.  No rioting? No dismissal? A hero?  #SemST	AGAINST
20156	Donald Trump	Trump: Chicago is a great city. I love spending time in my building. #SemST	AGAINST
20157	Donald Trump	@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General. #SemST	AGAINST
20158	Donald Trump	Is #Greece waking up to the disaster of #Socialism and a world without borders? #SemST	AGAINST
20159	Donald Trump	Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica #SemST	FAVOR
20160	Donald Trump	This country doesnt have victories any more.  When is the last time we beat china in trade? #talkcityclub #SemST	AGAINST
20161	Donald Trump	Putting Our Marines on non US flagged Ships would be against everything that is America, for Gods sake end #Progressivism #SemST	AGAINST
20162	Donald Trump	If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub #SemST	AGAINST
20163	Donald Trump	.@robertthedeuce True, @Obama @MSNBCYourBiz @AlanColmes doesn't care, It's NOT their money. Wait-up Greece, We're coming. #SemST	AGAINST
20164	Donald Trump	I guess NBC does not like to hear the truth. #SemST	AGAINST
20165	Donald Trump	Y'all knew it was going to happen.  Wasn't it just a matter of time?  #SemST	NONE
20166	Donald Trump	.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House. #SemST	AGAINST
20167	Donald Trump	@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get. #SemST	AGAINST
20168	Donald Trump	So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC #SemST	AGAINST
20169	Donald Trump	Props to @nbc, they are connected to Telemundo. Even more impressive they dumped Trump after Univision squabble. #DumpTrump #SemST	AGAINST
20170	Donald Trump	I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots #SemST	AGAINST
20171	Donald Trump	Will FOX News pick up #MissUSA and #MissUniverse?  Stay tuned to find out.  #YoureFired #NBC #FoxNews #SemST	AGAINST
20172	Donald Trump	@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse #SemST	FAVOR
20173	Donald Trump	Hey #UniteBlue look at #Greece - that's America's future thanks to you and Obama adding 8 Triion in U.S. debt. #SemST	AGAINST
20174	Donald Trump	@realDonaldTrump he is a real leader and deserves to be President. #SemST	AGAINST
20175	Donald Trump	Donald Trump:  proof positive that Gigantism is the last stage before extinction. #MissUSA #SemST	AGAINST
20176	Donald Trump	Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault #SemST	AGAINST
20177	Donald Trump	One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump #SemST	AGAINST
20178	Donald Trump	Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm #SemST	NONE
20179	Donald Trump	The Left fear Donald Trump, BIG TIME! @realDonaldTrump  #SemST	AGAINST
20180	Donald Trump	@cvpayne @FoxBusiness yup you got that right #SemST	AGAINST
20181	Donald Trump	#TheFive Geraldo is an ass and when he spews his leftist BS he makes me sick TURNING OFF THE FIVE #TheFive #SemST	AGAINST
20182	Donald Trump	Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry #SemST	AGAINST
20183	Donald Trump	Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST	NONE
20184	Donald Trump	Donald Trump needs to stop embarrassing himself. Racist assholes.... #SemST	NONE
20185	Donald Trump	@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO #SemST	AGAINST
20186	Donald Trump	Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya. #SemST	AGAINST
20187	Donald Trump	@RoughHouse_Ent Who the hell wants to watch this without #SemST	AGAINST
20188	Donald Trump	@realDonaldTrump I am sorry Mexico sends people like Dylan Roof, Mitchelle Blair and David Sweat to the USA. #enemywithin #SemST	AGAINST
20189	Donald Trump	Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry #SemST	AGAINST
20190	Donald Trump	Donald Trump is the man lets get this man in the White House!!! #SemST	AGAINST
20191	Donald Trump	@RealJamesWoods @LoriBlaney My parents warned me to stay away from anyone offering free candy. NOTHING is ever free.  #SemST	AGAINST
20192	Donald Trump	i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions #SemST	FAVOR
20193	Donald Trump	Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow #SemST	NONE
20194	Donald Trump	I write separately to call attention to this Court's threat to American democracy - #ObergefellvHodges #AmericaIsScrewed #SemST	AGAINST
20195	Donald Trump	I believe this September's blood moon portends a cataclysmic event. #Christians  #SemST	AGAINST
20196	Donald Trump	More people should pay attention to the Greek situation cuz it's the first dominoe to fall #Grexit #tcot #SemST	AGAINST
20197	Donald Trump	. @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general. #SemST	AGAINST
20198	Donald Trump	Mr. @realDonaldTrump   I appreciate you standing your ground as you've done.  I can say I've never felt better about voting. #SemST	AGAINST
20199	Donald Trump	The California draught is a myth created by the government. The point was to conserve water for use in the war against ISIS. #SemST	AGAINST
20200	Donald Trump	@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight. #SemST	AGAINST
20201	Donald Trump	@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality... #SemST	AGAINST
20202	Donald Trump	I'm sure the white Euro people who moved to America when the land belonged to Native Americans were not good people either, #SemST	AGAINST
20203	Donald Trump	@POTUS The whole light thing with the people's house was disgraceful.  #SemST	AGAINST
20204	Donald Trump	He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy  #SemST	AGAINST
20205	Donald Trump	July 4th occurs on Ramadan. Since 911, this is most concern I've seen FBI, Homeland Security and the Police'- Rep Peter King #SemST	AGAINST
20206	Donald Trump	Do Gay people understand that if #ShariaLaw comes, those Marriage Licenses target them for death? - Dr. Samm   #LovesWins  #SemST	AGAINST
20207	Donald Trump	After a major stroke, 4 years later I'm still waiting. 15 mil are getting  free what I work for my whole life. #SemST	AGAINST
20208	Donald Trump	@realDonaldTrump what NBC actually stands for....Nothing But Crap. #BoycottNBC #SemST	AGAINST
20209	Donald Trump	@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired #SemST	AGAINST
20210	Donald Trump	@foxnation read my lips , " I am Nuts " get out of people's personal life. #SemST	AGAINST
20211	Donald Trump	IF Trump could build the WALL it would provide jobs & also B a tourist attraction & pay 4 itself LEGALS arent the ones offended! #SemST	AGAINST
20212	Donald Trump	@MikeBates @BI_RetailNews Sickening, Children are at the Parades! BHO has turn this Country tolongest 6.6yrs of my Life! #SemST	AGAINST
20213	Donald Trump	@realDonaldTrump You're FIRED! Now get out of here! Go!    #SemST	AGAINST
20214	Donald Trump	@HarisSTR Howz greece heard u like to anal pound didnt think u were like that #SemST	NONE
20215	Donald Trump	Donald Trump is gonna end up like Hitler #SemST	AGAINST
20216	Donald Trump	@realDonaldTrump just so you know White people have more of a "Rapist" title, than Hispanics. #NotBeingRasist #DoResearch  #SemST	AGAINST
20217	Donald Trump	@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE #SemST	NONE
20218	Donald Trump	That 5-mile run yesterday? Yeah, we're feeling it this morning. #FeelTheBern #MoreCleverHashtags #SemST	AGAINST
20219	Donald Trump	America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC #SemST	AGAINST
20220	Donald Trump	what is it with the pple who enjoy harassing me by writing captions on my photographs @Lrihendry? #scientology    #hurtful #SemST	AGAINST
20221	Donald Trump	These noodles on my head are so hard to comb! #SemST	AGAINST
20222	Donald Trump	@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet. #SemST	AGAINST
20223	Donald Trump	Donald Trump is Biff in the alternate universe 1985 in Back to the Future 2.   #biff #BackToTheFuture #SemST	AGAINST
20224	Donald Trump	Tuesday AM #TrumpDump on horizon. I can see Chris Christie being victim. NBC for sure. Anyone else? #TellingItLikeItIs #SemST	AGAINST
20225	Donald Trump	@kupajo33 @ChrisChristie we don't need him! #SemST	FAVOR
20226	Donald Trump	Without mexicans illegal or legal US shuts down,Your people will never be able to keep up with our hard workers. #WeAreMexico #SemST	AGAINST
20227	Donald Trump	Not an American but I'll def be following the circus of the 2016 presidential running unfold. #Christie2016   #SemST	AGAINST
20228	Donald Trump	Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh  #SemST	AGAINST
20229	Donald Trump	Hutch_USA Follow ===> sarah_brannick <===  if you want to #FreeAmir #FreeAmirNow  #PJNET #SemST	AGAINST
20230	Donald Trump	Freedom of speech? Yeah right. You are only allowed to say what you want if it lines up with the liberal agenda. Wake up people #SemST	AGAINST
20231	Donald Trump	@mdsbarry ILLEGAL ALIENS come to US collect welfare and social security, its time to #MakeAmericaGreatAgain SECURE OUR BORDERS  #SemST	AGAINST
20232	Donald Trump	If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump   #SemST	AGAINST
20233	Donald Trump	@Dahat8 @Stonewall_77 The HATE within America is stronger NOW than I remember since 1969? Can't go backwards to such division #SemST	AGAINST
20234	Donald Trump	Think u can say anything without repercussion? Ask Mel Gibson how that's working out for him u racist elitist piece of shit! #SemST	AGAINST
