ID	Target	Tweet	Stance
34	Hillary Clinton	@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT #SemST	NONE
35	Hillary Clinton	#Hillary is as transparent as a brick wall #LibertyNotHillary #SemST	NONE
36	Hillary Clinton	@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary #SemST	NONE
37	Hillary Clinton	@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck. #SemST	NONE
38	Hillary Clinton	What are you afraid of @HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS #SemST	AGAINST
39	Hillary Clinton	Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State. #SemST	AGAINST
40	Hillary Clinton	CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid. #SemST	AGAINST
41	Hillary Clinton	@NBCNews including repealing the first amendment. Way to go #SemST	NONE
42	Hillary Clinton	@NBCNews Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica #SemST 	NONE
43	Hillary Clinton	Lets take back our country! Whos with me? No more Democrats!2016 #SemST	NONE
44	Hillary Clinton	RT @AnthonyCumia: If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist. #SemST	AGAINST
45	Hillary Clinton	I'm #ThatChampion who got kicked off the #Watergate team due to misconduct.  #tcot #SemST	NONE
46	Hillary Clinton	.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T! #SemST	AGAINST
47	Hillary Clinton	@JVollmer08 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia #SemST	NONE
48	Hillary Clinton	Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation. #SemST	NONE
49	Hillary Clinton	I'm on the edge of my seat to start volunteering for @HillaryClinton 's presidential campaign!  So excited!!  #cantwait #SemST	NONE
50	Hillary Clinton	RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub... #SemST	NONE
1673	Hillary Clinton	RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president #SemST	FAVOR
1674	Hillary Clinton	@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting #SemST	NONE
1675	Hillary Clinton	@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most. #SemST	NONE
1676	Hillary Clinton	@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you. #SemST	NONE
1677	Hillary Clinton	Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice? #SemST	NONE
1678	Hillary Clinton	Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton. #SemST	NONE
1679	Hillary Clinton	Human rights are women's rights and women's rights are human rights. - Hillary Clinton #SemST	FAVOR
1680	Hillary Clinton	Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote #SemST	FAVOR
1681	Hillary Clinton	Bill Clinton just wants to be the first dude to be President and bang one. #SemST	NONE
1682	Hillary Clinton	@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor #SemST	AGAINST
1683	Hillary Clinton	I've made my decision, to the shock of no one probably, who I'm supporting  #SemST	NONE
1684	Hillary Clinton	Didn't realize Bob Dole was mentioned in Tupac's "How do u want it" #YesterdaysLeaders #SemST	NONE
1685	Hillary Clinton	If I run for office this will be my original logo:          M   #libertynothillary  #HillNo #tcot #UniteBlue #SemST	NONE
1686	Hillary Clinton	I will be there when your little tree has run out of smell. #ThatChampion #SemST	NONE
1687	Hillary Clinton	crazy to think next up for the Oval Office is either going to be Hillary or a Republican #SemST	NONE
1688	Hillary Clinton	@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-))))  Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo #SemST	NONE
1689	Hillary Clinton	@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld #SemST	NONE
1690	Hillary Clinton	RT @NicolaSturgeon: "It's official: Hillary's running for president," says her campaign chief. Excellent! #SemST	AGAINST
1691	Hillary Clinton	Only in a SEXIST AS FUK world would we question the "qualifications" of a former SECRETARY OF STATE. #SemST	AGAINST
1692	Hillary Clinton	@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie #SemST	FAVOR
1693	Hillary Clinton	@ReformedBroker "to da honies gittin money playing #bleep words like dummies" #POPPA #SemST	NONE
1694	Hillary Clinton	Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways. #SemST	FAVOR
1695	Hillary Clinton	Low key it would be interesting to have a female president. #SemST	FAVOR
1696	Hillary Clinton	@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences  #SemST	FAVOR
1697	Hillary Clinton	.@EthanObama I know - it's just going to be a long year! #SemST	FAVOR
1698	Hillary Clinton	Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools #SemST	NONE
1699	Hillary Clinton	Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?  #tcot #p2 #SemST	NONE
1700	Hillary Clinton	Lol why do so many people around here hate Hillary?  #SemST	FAVOR
1701	Hillary Clinton	@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary #SemST	AGAINST
1702	Hillary Clinton	Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to #SemST	FAVOR
1703	Hillary Clinton	@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA #SemST	FAVOR
1704	Hillary Clinton	Hillary Clinton for Ambassador to ISIS. #SemST	NONE
1705	Hillary Clinton	So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers #SemST	NONE
1706	Hillary Clinton	I'm a woman. Can I be President? @StopHillaryPAC #SemST	AGAINST
1707	Hillary Clinton	This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough #SemST	FAVOR
1708	Hillary Clinton	@lajouetreine @KarrattiPaul I'm not a Genitalian #SemST	AGAINST
1709	Hillary Clinton	Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet. #SemST	NONE
1710	Hillary Clinton	Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly. #SemST	NONE
1711	Hillary Clinton	Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary #SemST	NONE
1712	Hillary Clinton	.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted. #SemST	FAVOR
1713	Hillary Clinton	I just want my dog to stop eating the trash #SemST	NONE
1714	Hillary Clinton	@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez #SemST	AGAINST
1715	Hillary Clinton	Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world! #SemST	NONE
1716	Hillary Clinton	@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED. #SemST	NONE
1717	Hillary Clinton	#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons #SemST	NONE
1718	Hillary Clinton	I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school #SemST	FAVOR
1719	Hillary Clinton	RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate #SemST	NONE
1720	Hillary Clinton	How can she live with herself? #Benghazi #SemST	NONE
1721	Hillary Clinton	Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus #SemST	FAVOR
1722	Hillary Clinton	Hillary needs to go to a Sheetz gas station after 10 pm to see the real America. #SemST	AGAINST
1723	Hillary Clinton	Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation #SemST	FAVOR
1724	Hillary Clinton	Yes, do tell US, name one of her accomplishments #SemST	AGAINST
1725	Hillary Clinton	Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high. #SemST	FAVOR
1726	Hillary Clinton	Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something #SemST	NONE
1727	Hillary Clinton	Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself #SemST	AGAINST
1728	Hillary Clinton	@Bluesaloon Women are not a demographic, we are at least 50% of the nation. So a woman is no more symbolic than a man #SemST	FAVOR
1729	Hillary Clinton	Sending u gay bear love from Chicago @HillaryClinton #HillaryMyPresident #SemST	NONE
1730	Hillary Clinton	I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio #SemST	NONE
1731	Hillary Clinton	@ProBirdRights: I do a stump speech. It on the stump in the park. attendance mandatory. #SemST	AGAINST
1732	Hillary Clinton	I'd still rather have Aaron Hernandez as President than Hillary.  #SemST	NONE
1733	Hillary Clinton	@JSavoly @tedcruz Here ya go teddy boy..the world is getting HOTTER!! It's called GLOBAL WARMING!!  You're such a PUTZ!! #SemST	NONE
1734	Hillary Clinton	@JusticeWillett at least he has a platform #SemST	NONE
1735	Hillary Clinton	Because I'm against common core, common crooks and common lies! #NoHillary2016 #StopHillaryClinton2016 #WhyImNotVotingForHillary #SemST	NONE
1736	Hillary Clinton	I would LMAO if some negro Democrat decides to run for President. #HillaryClinton2016 #HillarysBigAnnouncement #HillarysDonors #SemST	NONE
1737	Hillary Clinton	@senna1 @KirillWasHere how many men are getting their dicks sucked daily in congress, etc and no one gives a shit... #SemST	AGAINST
1738	Hillary Clinton	You can't grow an economy from the bottom up. If she gets in, we're ALL in trouble #SemST	AGAINST
1739	Hillary Clinton	@HillaryClinton Stop raising taxes and let people keep more of their wages! #LibertyNotHillary #StandWithRand #SemST	FAVOR
1740	Hillary Clinton	@theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice #SemST	NONE
1741	Hillary Clinton	3. Fixing America's political system by getting rid of "unaccountable" money, and 4. Protecting the country. #SemST	NONE
1742	Hillary Clinton	marijuana? marijuaage equality?? coincidence i think nOT!!11! #SemST	NONE
1743	Hillary Clinton	@KoriWasinger @JButtawipo she also voted for the Iraq war and was responsible for gathering @TheDemocrats votes to support it. #SemST	FAVOR
1744	Hillary Clinton	Ding Dong ____ _____ __ ____ #SemST	NONE
1745	Hillary Clinton	RT @MaxTollensJr: One-percenter lied about being #DeadBroke No more lies. NO to #SemST	NONE
1746	Hillary Clinton	@SLessard 100% agree. We need a woman like Hillary that can help this country get nursed back together! #SemST	FAVOR
1747	Hillary Clinton	Much like you good people I forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue #SemST	AGAINST
1748	Hillary Clinton	@RandPaul @HillaryClinton you could never dream to be as intelligent as she is #SemST	NONE
1749	Hillary Clinton	If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants. #SemST	AGAINST
1750	Hillary Clinton	#WhyImNotVotingForHillary she calls education a "non-family enterprise" #ImCommitted2DefeatHillary Are you? #ncpol @GOP #SemST	AGAINST
1751	Hillary Clinton	@bristola48 @AlciniaH @Mahogany1992 @stphil @MzDivah67 @Progress4Ohio @graceslick77 @AuntLulie @deejayedee He cool, but NO #SemST	AGAINST
1752	Hillary Clinton	@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia #SemST	NONE
1753	Hillary Clinton	@WhiteHouse @BarackObama @HillaryforIA @BarackObama The whole #world is supporting you. #SemST	NONE
1754	Hillary Clinton	@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime. #SemST	AGAINST
1755	Hillary Clinton	@HillaryClinton The deceit hand? Thats a hand you know well. Right? #SemST	NONE
1756	Hillary Clinton	@AlyssSmithh There she is pant suite Hillary to hide those thighs #HillarysDonors #HillarysBigAnnouncement #Benghazi #Obama #SemST	NONE
1757	Hillary Clinton	@HillaryClinton will pick @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren #SemST	NONE
1758	Hillary Clinton	I'm going to apply for the Intern job #SemST	NONE
1759	Hillary Clinton	@TX_1 @politicalmath Then you know how slippery snakes slither over shards of glass! #SemST	NONE
1760	Hillary Clinton	@46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions. #SemST	AGAINST
1761	Hillary Clinton	.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!  #SemST	NONE
1762	Hillary Clinton	Gov. Chafee, why are you trying to make fetch happen. It's not going to happen. #SemST	NONE
1763	Hillary Clinton	#everydaysexism Only > @ATikSalt < may say what sexism is. The rest of y'all shut up. #SemST	NONE
1764	Hillary Clinton	@tjhansen @owillis serious, if trump runs you'll get a trump tattoo? Calling the Donald!! #SemST	NONE
1765	Hillary Clinton	Everything abt @HillaryClinton is BOGUS. Her issues, her history, her #Iowa trip, her #Twitter followers, her campaigning #SemST	NONE
1766	Hillary Clinton	#hillaryclinton is a champion of data removal. #SemST	NONE
1767	Hillary Clinton	@FoundersGirl @Artist_Angie I want the first female to be competent. #SemST	FAVOR
1768	Hillary Clinton	Saudi Arabia imprisons & flogs rape victims. "Women's champion" @HillaryClinton has accepted MILLIONS $$$ from Saudi govt #tcot #SemST	AGAINST
1769	Hillary Clinton	How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? @MauraReynolds @politico #SemST	NONE
1770	Hillary Clinton	Go watch America: Imagine A World Without Her. It'll make you realize how lucky we are to live in the best country on Earth #SemST	AGAINST
1771	Hillary Clinton	I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  #NoObamaThirdTerm #SemST	AGAINST
1772	Hillary Clinton	Breaking News: #Hillary trades campaign bus for a broomstick. #SemST	FAVOR
1773	Hillary Clinton	@SoCaliMilitia1 @CzarofFreedom  That God for global warming melting icebergs, never gets prosecuted for her crimes #Liberals #SemST	FAVOR
1774	Hillary Clinton	Nothing says "I'm Every Woman" like 10 Democrat staffers in a machine shop in #Iowa right @HillaryClinton? #NotReadyForHillary #SemST	NONE
1775	Hillary Clinton	I'd love for some reporter to ask, "Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it? #SemST	NONE
1776	Hillary Clinton	Very simple: the Clinton's are corrupt. #SemST	NONE
1777	Hillary Clinton	.@CaptYonah @thehill Fine; unethical or illegal quid pro quo uranium deal works for me. #SemST	NONE
1778	Hillary Clinton	@ConservatveGurl those of us that also have a brain will be voting against Hillary... #SemST	AGAINST
1779	Hillary Clinton	@LifeNewsHQ tolerance at its best! Do as I say not as I do #SemST	NONE
1780	Hillary Clinton	@Chris_1791 @TruthRevolt That doesn't leave much to talk about, then, does it? #SemST	NONE
1781	Hillary Clinton	I'm thinking #Hillary throws #Chelsea under the bus to end #Foundation firestorm.  #ClintonCash #TheGreaterGood #election2016 #SemST	NONE
1782	Hillary Clinton	@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes #SemST	NONE
1783	Hillary Clinton	@HillaryClinton You can run but you ca't hide. #ClintonFoundationscandal #ClintonCash #emailgate #SemST	AGAINST
1784	Hillary Clinton	In case of Emergency, Push THIS BUTTON to scrub server..... #SemST	NONE
1785	Hillary Clinton	Great to see my mentor @RepSusanDavis at #DCinSD. And she's right we have the most qualified candidate ever running for POTUS. #SemST	NONE
1786	Hillary Clinton	@BarackObama #Love_peace and peaceful coexistence of all no to violence and #terrorism #SemST	NONE
1787	Hillary Clinton	@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST	FAVOR
1788	Hillary Clinton	I bet Leslie Knope would be so happy about #SemST	NONE
1789	Hillary Clinton	Also the $400,000 "speaking fees" #Hillary took from Goldman Sachs for two "speeches." @Joan_Vennochi #SemST	NONE
1790	Hillary Clinton	@readyforHRC   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST	FAVOR
1791	Hillary Clinton	@NatureGuy101 @MaryMorientes   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST	FAVOR
1792	Hillary Clinton	@rebeccalipson  #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia #SemST	NONE
1793	Hillary Clinton	Before leaving my dad's I took the liberty in framing and put up the pictures he has meeting Hillary and Bill Clinton in '92 #SemST	NONE
1794	Hillary Clinton	#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib #SemST	NONE
1795	Hillary Clinton	RT .@ChuckNellis  .@HillaryClinton name change; it's no longer HRC it's now Hillary Uranium #Benghazi Clinton. Take note. #SemST	FAVOR
1796	Hillary Clinton	Hillary is on her way to #Baltimore to be their champion. #BaltimoreRiots #SemST	NONE
1797	Hillary Clinton	take faith that almost every political entity around you, whether dissident or not, serves no good purpose #Dempublicans #SemST	FAVOR
1798	Hillary Clinton	You don't have to be a lawyer to know the Clintons violated ethics rules. #SemST	FAVOR
1799	Hillary Clinton	@Xxoax @HillaryClinton @MaryMorientes   @BarackObama The whole #world is supporting you. #SemST	NONE
1800	Hillary Clinton	@HillaryClinton #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia #SemST	NONE
1801	Hillary Clinton	So @ClintonFdn, I believe Andrew Fastow beat you to the "we made mistakes, as many organizations of our size do" excuse #SemST	NONE
1802	Hillary Clinton	I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old #SemST	NONE
1803	Hillary Clinton	@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters. #SemST	NONE
1804	Hillary Clinton	Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. #BalitmoreRiots #SemST	FAVOR
1805	Hillary Clinton	Wasn't the original #ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business? #SemST	FAVOR
1806	Hillary Clinton	In 2013 Clinton Foundation collected $140M and spent $9M on direct aid, in 2014 they raised $500M and spent $100M on direct aid!  #SemST	NONE
1807	Hillary Clinton	Students of #BaylorUniversity are y'all ready for #MarcoRubio in #2016 #BU #Baylor #Bears #BaylorBears #NewAmericanCentury #GOP #SemST	NONE
1808	Hillary Clinton	@ChelseaClinton @HRC Do you stand for #BillClinton assaulting teen girls too? #ReadyForHillary #HillaryClinton #Clinton2016 #SemST	NONE
1809	Hillary Clinton	Hey #TexasState #Bobcats I hope y'all are ready for #MarcoRubio #2016 #TexasStateUniversity #NewAmericanCentury #Texas #TCOT #SemST	NONE
1810	Hillary Clinton	The only thing that I would pay money for is to hear Hillary Clinton say "I QUIT and I'm GUILTY" that would be worth millions. #SemST	NONE
1811	Hillary Clinton	Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER #SemST	FAVOR
1812	Hillary Clinton	@HillaryClinton @BarackObama The whole #world is supporting you. #SemST	NONE
1813	Hillary Clinton	Denial. It works for Hillary, why not the Mayor of #Baltimore. #DemocratLiesMatter #SemST	NONE
1814	Hillary Clinton	Join the Twitter movement! RT or fav for a mention or follow back! #SemST	NONE
1815	Hillary Clinton	Wow RT "@greta Baltimore Orioles to play tomorrow but no public allowed" #BaltimoreRiots #FreddieGray #ThanksObama #WakeUpAmerica #SemST	NONE
1816	Hillary Clinton	Spoke to @HillaryClinton today in NYC. Wow! So smart and impressive!!! #SemST	NONE
1817	Hillary Clinton	@HillaryClinton Says the millionaire politician who accepts $$$ from countries that execute gays. #Hypocrite #WakeUpAmerica #SemST	NONE
1818	Hillary Clinton	#BernieSanders is running for president, don't the #democrats already have one really old guy running?? #SemST	NONE
1819	Hillary Clinton	297 days until I can register to vote!!1 year 193 days until Election Day #RockTheVote #democrats #everyvotecounts #SemST	AGAINST
1820	Hillary Clinton	THEYRE NOT "THUGS"  YOU #TEAPARTY RACISTS THEY ARE "COMMUNITY REORGANIZERS" !! #TCOT #baltimoreriots #SemST	AGAINST
1821	Hillary Clinton	Hillary will get past the primaries cause Dem voters don't think she can do any wrong. But she will be beat in November #SemST	NONE
1822	Hillary Clinton	@HillaryClinton loving the new colorful profile pic! #loveit #SemST	NONE
1823	Hillary Clinton	@HillaryClinton Did your rich Saudi donors, who execute gays, join the team? #Hypocrite #WakeUpAmerica  #SemST	NONE
1824	Hillary Clinton	Also, I finally moved to @FDCITY today! Will be much easier to get around going forward! #moving #SemST	NONE
1825	Hillary Clinton	I think I am going to vote for Monica Lewinsky's Ex- boyfriends Wife #SemST	NONE
1826	Hillary Clinton	And the working american tax payer keeps on paying for the unethical liberals who want to destroy this great country of ours. #SemST	NONE
1827	Hillary Clinton	Hillary Clinton vs. Bernie Sanders primary will be like the brawl over applesauce at the retirement home. #ReadyForHillary #SemST	NONE
1829	Hillary Clinton	Too many women in too many countries speak the same language  of silence. HILLARY CLINTON #HillaryCliton #Hillary4Women #SemST	FAVOR
1830	Hillary Clinton	Always aim high,work hard, & care deeply about what U believe in...when U stumble, keep faith. HILLARY CLINTON @Faith4Hillary #SemST	FAVOR
1831	Hillary Clinton	It's time that we move from good words 2 good works, from sound bites 2 sound solutions HILLARY CLINTON #HillaryClinton #SemST	AGAINST
1832	Hillary Clinton	@TheDemocrats @DNCWomen I'm down to help for 2016 election. #SemST	NONE
1833	Hillary Clinton	How many poor kids could $2.5 billion feed? #SemST	NONE
1834	Hillary Clinton	@Norsu2 secret Clinton docs? gee WHAT a surprise! #SemST	NONE
1835	Hillary Clinton	Too far @realDonaldTrump. That's just too fucking far. #BaltimoreUprising #Obama #SemST	NONE
1836	Hillary Clinton	Hillary Clinton makes Nixon look like an amateur schoolboy #ClintonCash #ClintonFoundation #Clinton #SemST	NONE
1837	Hillary Clinton	@thehill #MamaHillary is making the case here & just exclusively how to deal with complex social issues. #cnn #bbc #Mamaclinton #SemST	NONE
1838	Hillary Clinton	.@GoldenTalon @johnmanko @CassandraRules  On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO #SemST	NONE
1839	Hillary Clinton	Whoever is up now let it be known that support for #MarcoRubio never sleeps! We promote the #NewAmericanCentury 24/7 #Texas #TX #SemST	NONE
1840	Hillary Clinton	@Slate This is why Rand Paul will never be POTUS. #BaltimoreUprising #SemST	NONE
1841	Hillary Clinton	@_Poli_Ana_ No, she's got the #BlackLivesMatter vote w/o even talking to them.  Most blacks are brainwashed by @TheDemocrats #SemST	NONE
1842	Hillary Clinton	If you're not watching @HillaryClinton's speech right now you're missing her drop tons of wisdom. #SemST	AGAINST
1843	Hillary Clinton	A proper introduction of Hillary Clinton should begin with five words: Will the defendant please rise #WhyImNotVotingForHillary #SemST	FAVOR
1844	Hillary Clinton	YES! Community policing is answer to rebuilding trust in our communities between law enforcement and the people they serve. #SemST	FAVOR
1845	Hillary Clinton	Don't get it twisted. A major presidential candidate using her first policy speech to talk about mass incarcertaion. #SemST	FAVOR
1846	Hillary Clinton	'Hillary-speak' campaign rhetoric is going to be the death of me. @jmarkwalk #SemST	FAVOR
1847	Hillary Clinton	@HillaryClinton  A Rainbow logo? Did u know only 4% of the US is gay? (2010 Census). #WhyImNotVotingForHillary #SemST	NONE
1848	Hillary Clinton	Saw a bit of @HillaryClinton 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks! #SemST	FAVOR
1849	Hillary Clinton	@Anomaly100 I'm confident that will piss off a few white Anglo-Saxon Protestants!  Keep talking Jeb. #SemST	NONE
1850	Hillary Clinton	@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll #SemST	FAVOR
1851	Hillary Clinton	A body-cam on every cop, private servers for Cabinet Secretaries. #SemST	NONE
